Subtotal,city,city_ascii,state_id,lat,lng
,Adak,Adak,AK,51.8815,-176.6295
,Akhiok,Akhiok,AK,56.945,-154.2151
,Akiachak,Akiachak,AK,60.9209,-161.402
,Akiak,Akiak,AK,60.9061,-161.2122
,Akutan,Akutan,AK,54.1594,-165.7328
,Alakanuk,Alakanuk,AK,62.6902,-164.6305
,Alatna,Alatna,AK,66.5638,-152.8385
,Alcan Border,Alcan Border,AK,62.6727,-141.1321
,Aleknagik,Aleknagik,AK,59.2946,-158.6896
,Aleneva,Aleneva,AK,58.059,-152.9091
,Allakaket,Allakaket,AK,66.5506,-152.627
,Ambler,Ambler,AK,67.0897,-157.8725
,Anaktuvuk Pass,Anaktuvuk Pass,AK,68.15,-151.7162
,Anchor Point,Anchor Point,AK,59.7703,-151.7052
,Anchorage,Anchorage,AK,61.1508,-149.1091
,Anderson,Anderson,AK,64.3074,-149.1562
,Angoon,Angoon,AK,57.455,-134.4978
,Aniak,Aniak,AK,61.5817,-159.5451
,Anvik,Anvik,AK,62.6541,-160.214
,Arctic Village,Arctic Village,AK,68.1421,-145.4957
,Atka,Atka,AK,52.2301,-174.2133
,Atmautluak,Atmautluak,AK,60.8622,-162.2858
,Atqasuk,Atqasuk,AK,70.481,-157.3835
,Attu Station,Attu Station,AK,52.8955,173.123
,Badger,Badger,AK,64.8006,-147.3877
,Bear Creek,Bear Creek,AK,60.2071,-149.3524
,Beaver,Beaver,AK,66.383,-147.3219
,Beluga,Beluga,AK,61.1869,-151.1637
,Bethel,Bethel,AK,60.7928,-161.7917
,Bettles,Bettles,AK,66.9084,-151.5369
,Big Delta,Big Delta,AK,64.1486,-145.7453
,Big Lake,Big Lake,AK,61.526,-149.972
,Birch Creek,Birch Creek,AK,66.2686,-145.8698
,Brevig Mission,Brevig Mission,AK,65.3413,-166.4953
,Buckland,Buckland,AK,65.9784,-161.1341
,Buffalo Soapstone,Buffalo Soapstone,AK,61.7073,-149.1095
,Butte,Butte,AK,61.5539,-149.0035
,Cantwell,Cantwell,AK,63.379,-148.8158
,Central,Central,AK,65.5213,-144.6409
,Chalkyitsik,Chalkyitsik,AK,66.6468,-143.7822
,Chefornak,Chefornak,AK,60.155,-164.255
,Chena Ridge,Chena Ridge,AK,64.7941,-148.0357
,Chenega,Chenega,AK,60.0757,-148.0194
,Chevak,Chevak,AK,61.5295,-165.5943
,Chickaloon,Chickaloon,AK,61.804,-148.4103
,Chicken,Chicken,AK,64.0878,-141.8283
,Chignik,Chignik,AK,56.3003,-158.4132
,Chignik Lagoon,Chignik Lagoon,AK,56.3041,-158.5004
,Chignik Lake,Chignik Lake,AK,56.2631,-158.8049
,Chistochina,Chistochina,AK,62.5921,-144.8135
,Chitina,Chitina,AK,61.5276,-144.2991
,Chuathbaluk,Chuathbaluk,AK,61.5746,-159.2489
,Circle,Circle,AK,65.7936,-144.1813
,Clam Gulch,Clam Gulch,AK,60.2001,-151.3939
,Clark's Point,Clark's Point,AK,58.8329,-158.5276
,Coffman Cove,Coffman Cove,AK,56.0057,-132.8395
,Cohoe,Cohoe,AK,60.2681,-151.2843
,Cold Bay,Cold Bay,AK,55.2122,-162.7475
,Coldfoot,Coldfoot,AK,67.2475,-150.1079
,College,College,AK,64.8694,-147.8217
,Cooper Landing,Cooper Landing,AK,60.4945,-149.841
,Copper Center,Copper Center,AK,61.9845,-145.3544
,Cordova,Cordova,AK,60.5348,-145.6092
,Covenant Life,Covenant Life,AK,59.3998,-136.0948
,Craig,Craig,AK,55.4913,-133.1165
,Crooked Creek,Crooked Creek,AK,61.8439,-158.1082
,Crown Point,Crown Point,AK,60.4267,-149.3529
,Deering,Deering,AK,66.0723,-162.7437
,Delta Junction,Delta Junction,AK,64.0604,-145.7058
,Deltana,Deltana,AK,63.8724,-145.2158
,Denali Park,Denali Park,AK,63.5909,-148.7107
,Diamond Ridge,Diamond Ridge,AK,59.7024,-151.5545
,Dillingham,Dillingham,AK,59.055,-158.5379
,Diomede,Diomede,AK,65.7536,-168.9219
,Dot Lake Village,Dot Lake Village,AK,63.6622,-144.016
,Dry Creek,Dry Creek,AK,63.6255,-144.6364
,Eagle,Eagle,AK,64.7813,-141.1979
,Eagle Village,Eagle Village,AK,64.7434,-141.1138
,Edna Bay,Edna Bay,AK,55.964,-133.6662
,Eek,Eek,AK,60.2164,-162.0331
,Egegik,Egegik,AK,58.2181,-157.4036
,Eielson AFB,Eielson AFB,AK,64.6741,-147.0605
,Ekwok,Ekwok,AK,59.3462,-157.4861
,Elfin Cove,Elfin Cove,AK,58.1912,-136.3129
,Elim,Elim,AK,64.6184,-162.2762
,Emmonak,Emmonak,AK,62.7762,-164.5157
,Ester,Ester,AK,64.8646,-148.0916
,Evansville,Evansville,AK,66.9205,-151.4203
,Excursion Inlet,Excursion Inlet,AK,58.4355,-135.373
,Fairbanks,Fairbanks,AK,64.8353,-147.6534
,False Pass,False Pass,AK,54.8416,-163.348
,Farm Loop,Farm Loop,AK,61.6394,-149.1471
,Farmers Loop,Farmers Loop,AK,64.9061,-147.6957
,Ferry,Ferry,AK,64.0496,-148.9205
,Fishhook,Fishhook,AK,61.711,-149.2657
,Fort Greely,Fort Greely,AK,63.9678,-145.7148
,Fort Yukon,Fort Yukon,AK,66.5806,-145.2415
,Four Mile Road,Four Mile Road,AK,64.6045,-149.1222
,Fox,Fox,AK,64.9749,-147.609
,Fox River,Fox River,AK,59.8723,-150.9984
,Fritz Creek,Fritz Creek,AK,59.747,-151.2884
,Funny River,Funny River,AK,60.4873,-150.7808
,Gakona,Gakona,AK,62.3609,-145.2657
,Galena,Galena,AK,64.7381,-156.8635
,Gambell,Gambell,AK,63.7538,-171.6881
,Gateway,Gateway,AK,61.5737,-149.2389
,Glacier View,Glacier View,AK,61.8511,-147.7764
,Glennallen,Glennallen,AK,62.1278,-145.7693
,Goldstream,Goldstream,AK,64.9339,-148.0083
,Golovin,Golovin,AK,64.564,-162.9989
,Goodnews Bay,Goodnews Bay,AK,59.1271,-161.5754
,Grayling,Grayling,AK,62.8998,-160.1078
,Gulkana,Gulkana,AK,62.2152,-145.4449
