Subtotal,City,State,Latitude,Longitude
175.0,Anchorage,AK,61.1508,-149.1091
149.0,Anchorage,AK,61.1508,-149.1091
175.0,Bethel,AK,60.7928,-161.7917
175.0,Juneau,AK,58.4546,-134.1739
166.0,Wasilla,AK,61.577,-149.466
195.0,Wasilla,AK,61.577,-149.466
195.0,Wasilla,AK,61.577,-149.466
195.0,Wasilla,AK,61.577,-149.466
29.0,Wasilla,AK,61.577,-149.466
166.0,Wasilla,AK,61.577,-149.466
100.0,Enterprise,AL,31.3276,-85.8459
39.95,Alabaster,AL,33.2198,-86.8225
595.0,Pelham,AL,33.3114,-86.7573
125.0,Pinson,AL,33.7057,-86.6674
14.95,Talladega,AL,33.4329,-86.0976
29.95,Tuscaloosa,AL,33.2348,-87.5267
625.0,Alma,AR,35.4919,-94.2165
295.0,Sulphur Springs,AR,34.1708,-92.1299
261.75,Bella Vista,AR,36.4667,-94.2707
345.0,Farmington,AR,36.037,-94.2537
23.95,Fort Smith,AR,35.3493,-94.3695
59.0,Fort Smith,AR,35.3493,-94.3695
26.96,Fort Smith,AR,35.3493,-94.3695
39.95,Apache Junction,AZ,33.3985,-111.5351
149.0,Apache Junction,AZ,33.3985,-111.5351
350.0,Casa Grande,AZ,32.9068,-111.7624
149.0,Chandler,AZ,33.2826,-111.8516
695.0,Gilbert,AZ,33.3101,-111.7463
349.0,Glendale,AZ,33.5791,-112.2311
175.0,Glendale,AZ,33.5791,-112.2311
261.75,Gold Canyon,AZ,33.3715,-111.4369
295.0,Gold Canyon,AZ,33.3715,-111.4369
295.0,Gold Canyon,AZ,33.3715,-111.4369
149.0,Kingman,AZ,35.217,-114.0105
149.0,Kingman,AZ,35.217,-114.0105
29.95,Lake Havasu City,AZ,34.5006,-114.3113
265.5,Lake Havasu City,AZ,34.5006,-114.3113
54.95,Marana,AZ,32.4355,-111.1558
521.25,Marana,AZ,32.4355,-111.1558
295.0,Oro Valley,AZ,32.4208,-110.9768
125.0,Oro Valley,AZ,32.4208,-110.9768
64.95,Peoria,AZ,33.7844,-112.2989
70.0,Phoenix,AZ,33.5722,-112.0891
70.0,Phoenix,AZ,33.5722,-112.0891
70.0,Phoenix,AZ,33.5722,-112.0891
70.0,Phoenix,AZ,33.5722,-112.0891
70.0,Phoenix,AZ,33.5722,-112.0891
70.0,Phoenix,AZ,33.5722,-112.0891
70.0,Phoenix,AZ,33.5722,-112.0891
70.0,Phoenix,AZ,33.5722,-112.0891
157.45,Tuba City,AZ,36.125,-111.2468
495.0,Tuba City,AZ,36.125,-111.2468
738.75,Tuba City,AZ,36.125,-111.2468
58.46,Tucson,AZ,32.1545,-110.8782
149.0,Tucson,AZ,32.1545,-110.8782
149.0,Tucson,AZ,32.1545,-110.8782
175.0,Tucson,AZ,32.1545,-110.8782
175.0,Tucson,AZ,32.1545,-110.8782
450.0,Tucson,AZ,32.1545,-110.8782
199.0,Tucson,AZ,32.1545,-110.8782
395.0,Alpine,CA,32.8439,-116.7585
84.6,Rancho Cucamonga,CA,34.1248,-117.5666
112.5,Anaheim,CA,33.839,-117.8572
34.99,Arroyo Grande,CA,35.1241,-120.5845
395.0,Atascadero,CA,35.4827,-120.6858
695.0,Brentwood,CA,37.9355,-121.7191
39.95,Calabasas,CA,34.1375,-118.6689
349.0,Fortuna,CA,40.5862,-124.1419
157.5,Cottonwood,CA,40.3904,-122.2861
39.95,Danville,CA,37.8121,-121.9698
521.25,El Cajon,CA,32.8017,-116.9605
149.0,Simi Valley,CA,34.2663,-118.749
56.25,Fremont,CA,37.5265,-121.9852
19.95,Huntington Beach,CA,33.696,-118.0025
595.0,Imperial Beach,CA,32.5689,-117.1184
106.25,Keene,CA,35.233000000000004,-118.6103
350.0,Long Beach,CA,33.7981,-118.1675
100.0,Los Angeles,CA,34.1139,-118.4068
470.0,Los Angeles,CA,34.1139,-118.4068
54.95,Madera,CA,36.9631,-120.0782
29.95,Mammoth Lakes,CA,37.6273,-118.99
74.98,Manteca,CA,37.7927,-121.2264
100.0,Mountain View,CA,37.4,-122.0796
395.0,Mountain View,CA,37.4,-122.0796
39.95,Murrieta,CA,33.571999999999996,-117.1909
39.95,Newport Beach,CA,33.6151,-117.8669
225.0,Oceanside,CA,33.2247,-117.3083
32.0,Orcutt,CA,34.8668,-120.4269
32.0,Orcutt,CA,34.8668,-120.4269
32.0,Orcutt,CA,34.8668,-120.4269
32.0,Orcutt,CA,34.8668,-120.4269
32.0,Orcutt,CA,34.8668,-120.4269
32.0,Orcutt,CA,34.8668,-120.4269
32.0,Orcutt,CA,34.8668,-120.4269
32.0,Orcutt,CA,34.8668,-120.4269
32.0,Orcutt,CA,34.8668,-120.4269
32.0,Orcutt,CA,34.8668,-120.4269
100.0,Palm Desert,CA,33.7378,-116.3695
200.0,Perris,CA,33.7899,-117.2233
350.0,Perris,CA,33.7899,-117.2233
64.95,Pleasanton,CA,37.6663,-121.8805
34.99,Poway,CA,32.9871,-117.0201
695.0,Rancho Murieta,CA,38.5085,-121.0716
596.25,Riverside,CA,33.9381,-117.3948
150.0,Rosamond,CA,34.8658,-118.2154
112.5,Rosamond,CA,34.8658,-118.2154
250.0,San Francisco,CA,37.7562,-122.443
34.99,San Lorenzo,CA,37.6737,-122.1349
172.95,San Luis Obispo,CA,35.2669,-120.6691
258.75,San Mateo,CA,37.5521,-122.3122
39.95,San Rafael,CA,37.9905,-122.5222
395.0,Santa Maria,CA,34.9334,-120.4432
625.5,Stockton,CA,37.9765,-121.3109
345.0,Tracy,CA,37.7269,-121.4522
382.5,Visalia,CA,36.3276,-119.3269
29.95,West Hollywood,CA,34.0882,-118.3718
148.75,Arvada,CO,39.8321,-105.1511
175.0,Arvada,CO,39.8321,-105.1511
350.0,Arvada,CO,39.8321,-105.1511
265.5,Arvada,CO,39.8321,-105.1511
64.95,Ault,CO,40.5893,-104.7392
157.5,Aurora,CO,39.7087,-104.7273
175.0,Aurora,CO,39.7087,-104.7273
630.0,Berthoud,CO,40.306999999999995,-105.0419
64.95,Black Hawk,CO,39.8043,-105.495
650.0,Black Hawk,CO,39.8043,-105.495
295.0,Boulder,CO,40.0249,-105.2523
225.0,Broomfield,CO,39.9541,-105.0527
175.0,Broomfield,CO,39.9541,-105.0527
111.75,Lincoln Park,CO,38.4255,-105.2132
695.0,Centennial,CO,39.5926,-104.8674
195.0,Colorado Springs,CO,38.8674,-104.7606
100.0,Colorado Springs,CO,38.8674,-104.7606
700.0,Colorado Springs,CO,38.8674,-104.7606
100.0,Colorado Springs,CO,38.8674,-104.7606
93.75,Colorado Springs,CO,38.8674,-104.7606
100.0,Colorado Springs,CO,38.8674,-104.7606
100.0,Colorado Springs,CO,38.8674,-104.7606
349.0,Colorado Springs,CO,38.8674,-104.7606
595.0,Colorado Springs,CO,38.8674,-104.7606
175.0,Aspen Park,CO,39.5423,-105.2968
395.0,Denver,CO,39.7621,-104.8759
32.0,Denver,CO,39.7621,-104.8759
32.0,Denver,CO,39.7621,-104.8759
32.0,Denver,CO,39.7621,-104.8759
32.0,Denver,CO,39.7621,-104.8759
32.0,Denver,CO,39.7621,-104.8759
